Product,Total_Revenue,Total_Quantity,Total_Invoices,Avg_UnitPrice
 4 PURPLE FLOCK DINNER CANDLES,285.7,142,38,2.45051282051282
 50'S CHRISTMAS GIFT BAG LARGE,2343.63,1915,129,1.4265891472868217
 DOLLY GIRL BEAKER,2886.25,2451,174,1.5064204545454545
 I LOVE LONDON MINI BACKPACK,1624.02,388,86,4.616666666666667
 I LOVE LONDON MINI RUCKSACK,4.15,1,1,4.15
 NINE DRAWER OFFICE TIDY,894.42,58,33,16.09060606060606
 OVAL WALL MIRROR DIAMANTE ,2391.12,236,156,10.774935897435897
 RED SPOT GIFT BAG LARGE,2089.92,1713,103,1.3771844660194175
 SET 2 TEA TOWELS I LOVE LONDON ,8082.05,2783,269,3.557846715328467
 SPACEBOY BABY GIFT SET,7741.749999999999,498,184,15.913423913043477
 TOADSTOOL BEDSIDE LIGHT ,17.9,2,1,8.95
 TRELLIS COAT RACK,1118.6100000000001,227,56,5.844035087719298
*Boombox Ipod Classic,16.98,1,1,16.98
*USB Office Mirror Ball,16.94,2,2,8.47
10 COLOUR SPACEBOY PEN,5585.45,6564,318,1.0559561128526644
12 COLOURED PARTY BALLOONS,1398.51,2134,163,0.7042771084337349
12 DAISY PEGS IN WOOD BOX,592.6199999999999,344,77,1.9166666666666667
12 EGG HOUSE PAINTED WOOD,2378.52,149,99,17.214646464646464
12 HANGING EGGS HAND PAINTED,83.2,40,7,2.08
12 IVORY ROSE PEG PLACE SETTINGS,1478.1,969,148,1.7138926174496645
12 MESSAGE CARDS WITH ENVELOPES,2947.87,1733,251,2.0496899224806198
12 PENCIL SMALL TUBE WOODLAND,3210.27,4497,355,0.7885479452054794
12 PENCILS SMALL TUBE RED RETROSPOT,4383.27,6633,362,0.7378688524590163
12 PENCILS SMALL TUBE SKULL,4527.43,6976,355,0.7523415977961433
12 PENCILS TALL TUBE POSY,1166.07,3785,170,0.38602272727272724
12 PENCILS TALL TUBE RED RETROSPOT,2374.81,2737,268,0.9340072202166064
12 PENCILS TALL TUBE SKULLS,1880.6699999999998,2151,256,0.957104247104247
12 PENCILS TALL TUBE WOODLAND,1740.57,1974,249,0.96316
12 PINK HEN+CHICKS IN BASKET,104.55,41,14,2.55
12 PINK ROSE PEG PLACE SETTINGS,267.5,214,21,1.25
12 RED ROSE PEG PLACE SETTINGS,630.92,449,105,1.5815315315315317
15 PINK FLUFFY CHICKS IN BOX,29.5,10,7,2.95
15CM CHRISTMAS GLASS BALL 20 LIGHTS,10910.61,1359,261,9.306958174904944
16 PC CUTLERY SET PANTRY DESIGN,63.8,4,1,15.95
16 PIECE CUTLERY SET PANTRY DESIGN,3785.06,254,69,17.16623188405797
18PC WOODEN CUTLERY SET DISPOSABLE,751.38,567,43,1.751627906976744
2 DAISIES HAIR COMB,52.56,18,12,2.9091666666666662
2 PICTURE BOOK EGGS EASTER BUNNY,256.54,182,36,1.8213888888888887
2 PICTURE BOOK EGGS EASTER CHICKS,222.22,171,25,1.492
2 PICTURE BOOK EGGS EASTER DUCKS,165.89,124,25,1.6856
20 DOLLY PEGS RETROSPOT,3251.6,2448,222,1.569642857142857
200 BENDY SKULL STRAWS,742.37,660,55,1.3725454545454545
200 RED + WHITE BENDY STRAWS,1218.93,916,172,1.4587861271676301
3 BIRDS CANVAS SCREEN,2.04,2,2,1.02
3 BLACK CATS W HEARTS BLANK CARD,4.5600000000000005,24,3,0.19000000000000003
3 DRAWER ANTIQUE WHITE WOOD CABINET,6457.94,734,202,9.293529411764705
3 GARDENIA MORRIS BOXED CANDLES,936.27,501,77,2.9699999999999998
3 HEARTS HANGING DECORATION RUSTIC,11797.380000000001,3413,303,3.352964169381108
3 HOOK HANGER MAGIC GARDEN,3276.2099999999996,1703,159,2.8271249999999997
3 HOOK PHOTO SHELF ANTIQUE WHITE,13611.81,1794,382,10.020785340314136
3 PIECE SPACEBOY COOKIE CUTTER SET,5472.6900000000005,2624,378,2.5305774278215223
3 PINK HEN+CHICKS IN BASKET,15.0,12,6,1.25
