Country,Total_Revenue,Total_Invoices,Known_Customers,AOV,Revenue_Share_Pct
United Kingdom,9001744.094,18019,3920,499.5695706753982,84.59
Netherlands,285446.34,94,9,3036.663191489362,2.68
EIRE,283140.52,288,3,983.1268055555556,2.66
Germany,228678.4,457,94,500.39037199124726,2.15
France,209625.37,392,87,534.7585969387756,1.97
Australia,138453.81,57,9,2429.0142105263158,1.3
Spain,61558.56,90,30,683.9839999999999,0.58
Switzerland,57067.6,54,21,1056.8074074074075,0.54
Belgium,41196.34,98,25,420.3708163265306,0.39
Sweden,38367.83,36,8,1065.7730555555556,0.36
Japan,37416.369999999995,19,8,1969.282631578947,0.35
Norway,36165.44,36,10,1004.5955555555556,0.34
Portugal,33683.05,58,19,580.7422413793104,0.32
Finland,22546.08,41,12,549.9043902439025,0.21
Singapore,21279.29,7,1,3039.8985714285714,0.2
Channel Islands,20440.54,26,9,786.1746153846154,0.19
Denmark,18955.34,18,9,1053.0744444444445,0.18
Italy,17483.24,38,14,460.08526315789476,0.16
Hong Kong,15483.0,11,0,1407.5454545454545,0.15
Cyprus,13502.85,16,8,843.928125,0.13
Austria,10198.68,17,11,599.9223529411765,0.1
Israel,8129.41,8,3,1016.17625,0.08
Poland,7334.65,19,6,386.03421052631575,0.07
Greece,4760.52,5,4,952.104,0.04
Unspecified,4740.94,13,4,364.68769230769226,0.04
Iceland,4310.0,7,1,615.7142857142857,0.04
Canada,3666.38,6,4,611.0633333333334,0.03
USA,3580.39,5,4,716.078,0.03
Malta,2725.59,5,2,545.118,0.03
United Arab Emirates,1902.28,3,2,634.0933333333334,0.02
Lebanon,1693.88,1,1,1693.88,0.02
Lithuania,1661.06,4,1,415.265,0.02
European Community,1300.25,4,1,325.0625,0.01
Brazil,1143.6,1,1,1143.6,0.01
RSA,1002.3100000000001,1,1,1002.3100000000001,0.01
Czech Republic,826.74,2,1,413.37,0.01
Bahrain,754.14,3,2,251.38,0.01
Saudi Arabia,145.92,1,1,145.92,0.0
