Month,Known,Unknown,Total,Known_Pct,Unknown_Pct
2010-12,570422.73,251030.0,821452.73,69.4,30.6
2011-01,568101.31,121710.3,689811.6100000001,82.4,17.6
2011-02,446084.92,76460.64,522545.56,85.4,14.6
2011-03,594081.76,122133.5,716215.26,82.9,17.1
2011-04,468374.331,68594.16,536968.491,87.2,12.8
2011-05,677355.15,91941.45999999999,769296.61,88.0,12.0
2011-06,660046.05,100500.95999999999,760547.01,86.8,13.2
2011-07,598962.901,119113.22,718076.1209999999,83.4,16.6
2011-08,644051.04,113790.34,757841.38,85.0,15.0
2011-09,950690.202,105744.99,1056435.192,90.0,10.0
2011-10,1035642.45,115621.28,1151263.73,90.0,10.0
2011-11,1156205.61,347661.17,1503866.78,76.9,23.1
2011-12,517190.44,120599.89,637790.33,81.1,18.9
