KPI,Value
Raw transactions,541909.0
Valid sales rows,524878.0
Physical-product rows,522728.0
Valid sales revenue,10642110.804
Clean physical-product revenue,10111537.734000003
Known customers,4338.0
Known-customer revenue,8887208.894000001
November 2011 revenue,1503866.78
Champions,1243.0
Potential Loyalists / At Risk,1188.0
Lost / Hibernating,885.0
UK revenue share,84.59
UK Champion share,90.02413515687851
Gini coefficient,0.7157897322762419
Pareto customer share at 80% revenue,26.0488704472107
