Description,Total_Revenue,Total_Quantity,Total_Invoices,Avg_Qty_Per_Invoice
REGENCY CAKESTAND 3 TIER,174156.54,13851,1988,6.97
WHITE HANGING HEART T-LIGHT HOLDER,106236.72,37872,2256,16.79
PARTY BUNTING,99445.23,18283,1685,10.85
JUMBO BAG RED RETROSPOT,94159.81,48371,2089,23.16
MEDIUM CERAMIC TOP STORAGE JAR,81700.92,78033,247,315.92
RABBIT NIGHT LIGHT,66870.03,30739,994,30.92
PAPER CHAIN KIT 50'S CHRISTMAS ,64875.59,19329,1160,16.66
ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362,1455,24.99
CHILLI LIGHTS,54096.36,10302,661,15.59
SPOTTY BUNTING,42513.48,8320,1140,7.3
