Description,Nov_Revenue,Nov_Quantity,Nov_Invoices,Nov_Avg_Qty
RABBIT NIGHT LIGHT,34478.4,14913,487,29.65
PAPER CHAIN KIT 50'S CHRISTMAS ,28955.54,7898,390,19.65
WHITE HANGING HEART T-LIGHT HOLDER,14356.22,4942,260,18.51
POPCORN HOLDER,14188.8,12452,244,49.22
REGENCY CAKESTAND 3 TIER,13774.08,1052,201,5.16
PAPER CHAIN KIT VINTAGE CHRISTMAS,12929.74,3822,276,13.7
HOT WATER BOTTLE KEEP CALM,11760.07,2349,288,7.96
JUMBO BAG RED RETROSPOT,11639.29,5908,247,23.73
CHILLI LIGHTS,11485.77,2092,114,18.03
JUMBO BAG 50'S CHRISTMAS ,11062.98,4057,266,15.08
