Description,Other_Revenue,Other_Quantity,Other_Invoices,Other_Avg_Qty
REGENCY CAKESTAND 3 TIER,160382.46,12799,1787,7.1
PARTY BUNTING,94704.47,17367,1596,10.79
WHITE HANGING HEART T-LIGHT HOLDER,91880.5,32930,1996,16.11
JUMBO BAG RED RETROSPOT,82520.52,42463,1842,22.83
MEDIUM CERAMIC TOP STORAGE JAR,80926.35,77374,207,370.21
ASSORTED COLOUR BIRD ORNAMENT,50545.83,31143,1250,24.54
CHILLI LIGHTS,42610.59,8210,547,14.9
PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,30.5
JUMBO BAG PINK POLKADOT,38978.23,19807,1099,17.84
SPOTTY BUNTING,38059.49,7431,1028,7.13
